Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
PVCRFOOT,PVF,Purchase documents - footer elt,Purchasing,,Purchasing,"Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Invoice","TABVAT  (Tax code table  ) , PFOOTINV  (Purchase invoicing elements  ) , PINVOICE  (Purchase invoices  )"
PVCRVAT,PVV,Purchase documents - taxes,Purchasing,,Purchasing,"Normal Purchase Orders,Purchase Receipts,Purchase Invoice","TABVAT  (Tax code table  ) , PINVOICE  (Purchase invoices  )"
PWRKORDERS,PWO,Requirements considered,Purchasing,,,,"TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
PWRKPOQ,PWQ,Temporary order detail,Purchasing,,,,
QLYCRD,QLC,Technical sheets,Common Data,,,,"QLYCRD  (Technical sheets  ) , QLYCRDQST  (Quality records - questions  )"
QLYCRDNQA,NQA,Sampling: AQL criteria,Common Data,,,,
STKMVTITC,SMI,Movement with value pending,Common Data,,,,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  )"
QUEUE,QUE,Queue,Common Data,,,,
QURCRI,QCR,Criteria of target,CRM activities,,,,
TABACCLIK,TCK,Reciprocal accounts,Common Data,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
QURCRIVAL,QCV,Criteria values,CRM activities,,,,
TABMAT,TMA,ID numbers,Common Data,,,,"FACILITY  (Sites  ) , TABWRKCTR  (Work center groups  ) , SFTSHIFT  (  )"
QUREXTRACT,QTX,Extraction of targets,CRM activities,,,,
TABPLACE,TPC,Transit area,Common Data,,,,"FACILITY  (Sites  ) , BPSUPPLIER  (Suppliers  ) , TABPLACE  (Transit area  )"
QURTMP,QTP,Target process,CRM activities,,,,
RBKBELDUD,RBU,Belgian bank stmnt open item,A/P-A/R accounting,KBE,,,"GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , GACCDENCOD  (Payment attribute  ) , RBKRUBBEL  (CODA headings  ) , TYPCOMBEL  (Communication types  )"
RBKBELTMP,RBW,Belgian bank stmnt open item,A/P-A/R accounting,KBE,,,"GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , GACCDENCOD  (Payment attribute  ) , RBKRUBBEL  (CODA headings  ) , TYPCOMBEL  (Communication types  )"
RBKRUBBEL,RRB,CODA headings,A/P-A/R accounting,KBE,,,"GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , RBKRUBBEL  (CODA headings  )"
REACHPAR,RPA,REACH setup,Common Data,,,,"TABFOR  (Formula table  ) , PIVOTS  (Pivots  )"
RELBANKREM,RBR,Bank statement comments,A/P-A/R accounting,,,,BANK  (Bank accounts  )
SALTRS,SLT,Entered sales transactions,Sales,,,,"AGRPFCY  (Site groupings  ) , AREPORT  (Report dictionary  )"
RESOURCES,RSS,Resources,CRM activities,,Customer relation,"Service response,Customer relations 2",
RESRES,RRS,Resource reservations,CRM activities,,Customer relation,"Service response,Customer relations 2",
RITCUM,RCU,Withholding total,A/P-A/R accounting,KAG,,,
TABUNAVAIL,TUV,Unavailable periods,Common Data,,Common data,Company and Sites,"AGRPFCY  (Site groupings  ) , TABUNAVAIL  (Unavailable periods  )"
RITDUD,RIU,Withholdings by open item,Common Data,KAG,,,
RITHIS,RTH,History of paid withholdings,Common Data,KIT,,,RITENZIONE  (Table of withholding codes  )
RNWPREP,RWP,Renewal,Fixed Assets,CCN,,,
TMPARPT,TARPT,Temporary print key table,A/P-A/R accounting,,,,AREPORT  (Report dictionary  )
SLOTMD,SLD,Lot modification line,Stock,,,,"AREPORT  (Report dictionary  ) , TABUNIT  (Table of units of measure  )"
RUBASSDEF,RDE,Associations - definition,Fixed Assets,,,,
RUBASSDEFP,RDP,Associations - definition/plan,Fixed Assets,,,,
RUBASSVAL,RVA,Associations - values,Fixed Assets,,,,
TABPACKAGE,TPA,Packaging table,Common Data,,Sales,"Normal Sales Orders,Sales Deliveries","AREPORT  (Report dictionary  ) , TABUNIT  (Table of units of measure  ) , TABPACKAGE  (Packaging table  )"
RUBASSVALP,RVP,Associations - values/plan,Fixed Assets,,,,
TMPCRPT,TCRPT,Temporary print key table,Common Data,,,,AREPORT  (Report dictionary  )
RVACOED,COD,Reval. coefficient (detail),Fixed Assets,,,,
RVACOEH,COH,Reval. coefficient (header),Fixed Assets,,,,
SAFTPTTMP1,SAFTP,SAF-T,Common Data,SAFT,,,
SAITRS,SAI,Entry transaction,Fixed Assets,,,,
SAITRSDET,DST,Entry transaction detail,Fixed Assets,,,,
SBGEO,SBG,Consulting fields of service suppliers,Help-Desk,,,,
SBPBL,SBP,Service suppliers' skills,Help-Desk,,,,
SCHGD,SGD,Stock change line,Stock,,,,"WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , LPN  (  ) , TABLOCTYP  (Location type table  )"
SCMAPAR,SZP,APS Forecast setup,Stock,,,,"TABFOR  (Formula table  ) , PIVOTS  (Pivots  )"
SCMDPAR,SDP,SCM n.skep setup,Stock,,,,"TABFOR  (Formula table  ) , PIVOTS  (Pivots  )"
SCPASW,SCA,Call script responses,CRM activities,,,,
SCPQST,SCQ,Call script questions,CRM activities,,,,
SCPQSTCND,SQC,Routing conditions,CRM activities,,,,
SCRIPT,SCP,Call script,CRM activities,,Customer relation,Customer relations 2,
SEARESULT,LUP,Search result,Common Data,,,,BPARTNER  (Business partner  )
SEASON,SES,Trend profiles,Common Data,,"Common data,Manufacturing","Item,Master Planning Schedule",
SECACT,SEA,Activity sector,Fixed Assets,,,,
SECPST,SPT,Lead sector,CRM activities,,,,
SECPSTSEL,SPS,Lead sector selection,CRM activities,,,,
SELCMG,SEC,List of marketing selections,CRM activities,,,,
SELCMGLIS,SCL,Marketing selection guide,CRM activities,,Customer relation,Marketing,
SMVTD,SMD,Stock movement detail,Stock,,,,"WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
SELSSP,SSP,Support of selections,CRM activities,,,,
SELSSPCPN,SSC,Selection support components,CRM activities,,,,
SENTENCES,RSY,Safety risk sentences,Manufacturing,MWM,,,
SEPAR,SEP,Payment gateways,Common Data,SEPP,,,
SETMAC,SEM,Listed base in requested model,Common Data,,,,ITMMASTER  (Products  )
SETMACCPN,SEN,Components concerned,Common Data,,,,ITMMASTER  (Products  )
SINCDET,SND,Line price review definition,Sales,,,,
SINVOICEP,SIP,Sales invoice - prepayments,Sales,,,,
SIPARJOU,SPJ,Integrale migration,Common Data,SMI,,,
SIPARVAC,SPV,Integrale migration,Common Data,SMI,,,
SIPARVACB,SVB,Integrale migration,Common Data,SMI,,,
SIPARX3,SPX,Integrale migration,Common Data,SMI,,,
SITRACAR,SIC,Transcoding,Common Data,SMI,,,
SITRACOD,SIR,Transcoding,Common Data,SMI,,,
SITRAWRK,SIW,Transcoding,Common Data,SMI,,,
SIWRKX3,SWX,Integrale migration,Common Data,SMI,,,
SMVTDVAL,SMV,Movement price,Stock,,,,
SOLRESULT,SOR,Solutions found,Help-Desk,,,,
SOLUTION,SOL,Solutions,Help-Desk,,Customer relation,Service request,
SPREASON,SPR,Sales price list reasons,Common Data,,Sales,"Sales Invoice,Sales Price",
TABCOEFF,TCO,Conversion factor table,Supervisor,,,,TABUNIT  (Table of units of measure  )
TABUNIT,TUN,Table of units of measure,Supervisor,,"Accounting,Common data,Manufacturing,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Item,Technical Data,Manufacturing Orders,Purchase Requests,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,External Orders,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns",TABUNIT  (Table of units of measure  )
SPRICFICH,SPF,Customer prices (records),Sales,,Sales,Sales Price,SPRICCONF  (Customer pricing parameters  )
STOPRED,PRE,Pick ticket detail,Stock,,,,"TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABPACKAGE  (Packaging table  )"
SREMAC,SRM,Base concerned,Common Data,,Customer relation,Service request,"SERREQUEST  (Service requests  ) , FAMPB  (Skill group  ) , MACHINES  (Installed base  )"
SREMACCPN,SRN,Components concerned,Common Data,,Customer relation,Service request,"ITMMASTER  (Products  ) , SERREQUEST  (Service requests  ) , MACHINES  (Installed base  )"
SRESAT,SRS,Request status history,Help-Desk,,,,
SRESTAT,SST,Requested statistics,Common Data,,,,
STATION,STX,Weighing location,Manufacturing,MWM,,,
STOLOT,STL,Lot numbers,Stock,,Manufacturing,Master Planning Schedule,"BPSUPPLIER  (Suppliers  ) , ITMMASTER  (Products  )"
STOWIPW,SWW,Stock being processed,Stock,,,,
SUCURSAL,SCU,Branch,Common Data,KAG,,,
SWIEZAG,SWIEZ,Temporary table,A/P-A/R accounting,KSW,,,
SWRKDLV,SWD,Automatic delivery generation,Sales,,,,"TABMODELIV  (Delivery methods  ) , BPDLVCUST  (Ship-to customer  ) , BPCUSTOMER  (Customers  )"
SWRKINV,SWI,Automatic billing,Sales,,,,
SYNCDATA,SYD,Synchronization data,CRM activities,,,,
SYNCLINK,SYL,Synchronise cross reference,CRM activities,,,,
SYNCPAR,SYP,Synchronization setup,CRM activities,,,,
TAAAXXX,XXX,Template table to copy,Common Data,,,,
TABALLRUL,TRU,Allocation and issue rules,Common Data,,Stock,Stock,
TABCOSTMET,TCM,Valuation methods,Common Data,,Stock,Stock,
TABFILCASH,TFC,Treasury file,Financials,CASIN,,,
TABGEOCOD,TGE,Geographic codes,Common Data,,,,
TABLINCFG,TLP,Product lines,Common Data,,Common data,Item,"CFGSCE  (Configurator scenarios  ) , TABCTL  (Response table  )"
TABMSG,TMS,Message table,Common Data,,,,
TABPLACETIME,TPCT,Transport lead time,Common Data,,,,"BPCARRIER  (Carriers  ) , TABPLACE  (Transit area  )"
TABPRTMOD,TPM,Print template table,Common Data,,,,
TABREOPOL,TRP,Reorder policies table,Common Data,,"Common data,Manufacturing","Item,Master Planning Schedule",
TABROUND,TRN,Roundings,Common Data,,,,
TABSAFSTO,TSA,Safety stock factor,Stock,,,,
TABSCA,TSR,Rejects,Common Data,,,,
TACONTAINERC,TCTRC,Container clobs,Common Data,,,,TABCONTAINER  (Freight container  )
TABSTASTO,TST,Stock status report,Common Data,,,,TABSTASTO  (Stock status report  )
TABWEEDIA,TWD,Weekly structures,Common Data,,Manufacturing,"Technical Data,Master Planning Schedule",DIAHOU  (Time table schemas  )
TABWRKCTR,TWC,Work center groups,Manufacturing,,Manufacturing,Technical Data,
TAUTILIS,TAU,Safe X3 WAS users,Common Data,TCAYT,,,
TBASKET,TBA,Shopping basket,Common Data,TCAYT,,,
TBASKETD,TBD,Shopping basket line,Common Data,TCAYT,,,
TDUPDCLC,TUC,Serial No. - calculation modification,Manufacturing,,,,
TEXCLOB,TXC,Text files,Common Data,,,,
TEXCPT,TCC,Text counter by table,Common Data,,,,
TGRLIS,TGL,Dictionary of targets,CRM activities,,,,
TGRLISFIE,TLF,Target inquiry,CRM activities,,,,
TGRLISLNK,TLL,Linked tables,CRM activities,,,,
TGRSSP,TGP,Presentation support,CRM activities,,,,
TITMLINK,TIK,Linked WAS items,Common Data,TCAYT,,,
TITMMASTER,TIT,Web items,Common Data,TCAYT,,,
TMP2054,T54,2054 fiscal statement Temporary table,Fixed Assets,,,,
TMP2055,T55,Fiscal statem. 2055 temp. table,Fixed Assets,,,,
TMP2855,TVS,Temporary table Fisc. Stmt 2855,Fixed Assets,,,,
TMPCPTDTA,TCD,Accounting interface -data,Fixed Assets,,,,
TMPDERO,TDE,Temporary table,Fixed Assets,,,,
TMPDFD,TDF,DFDDPEreport temp table,Fixed Assets,,,,
TMPEXPENSE,EXT,Temporary table - Expenses,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , TABEXPENS  (Expenses tables  )"
TMPFAS1PAGE,T1PG,Tmp. depr. one page report,Fixed Assets,,,,
TMPFAS246G,T246,Tmp. depreciation report,Fixed Assets,,,,
TMPFASLIST,TFL,Temporary print key table,Fixed Assets,,,,
TMPFASPHY,TPH,Temp table elem assignment,Fixed Assets,PHY,,,
TMPFUP0,TF0,Campaign criteria,A/P-A/R accounting,FUP,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , AGRPFCY  (Site groupings  ) , BPARTNER  (Business partner  ) , GCOA  (Chart of accounts  ) , GRPSAC  (Control groups  ) , TABPAM  (Payment mode table  ) , FUPGRP  (Reminder groups  ) , TMPFUP0  (Campaign criteria  ) , GFUPSCR  (Reminders screen  ) , SALESREP  (Sales rep  )"
TMPFUP1,TF1,BPs for reminding,A/P-A/R accounting,FUP,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TMPFUP0  (Campaign criteria  )"
TMPFUP2,TF2,Open items to remind,A/P-A/R accounting,FUP,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABDEPAGIO  (Early discount/late charge table  ) , TMPFUP0  (Campaign criteria  )"
TMPFUPCMT,TCF,Open item comments,A/P-A/R accounting,FUP,,,
TMPINVEXP,IEX,Export to symbol PDT3100,Fixed Assets,,,,
TMPINVEXPW,IEW,Export to windows ADC,Fixed Assets,,,,
TMPIPTACPT,IPT,Temporary allocation table,A/P-A/R accounting,,,,
TMPKRPT,TKRPT,Temporary print key table,Stock,,,,AREPORT  (Report dictionary  )
TMPLEARNT,TLR,Temporary table,Fixed Assets,,,,
TMPLISLOF,TLI,Temporary print key table,Fixed Assets,,,,
TMPLOFGRP,TLG,Temporary table,Fixed Assets,,,,
TMPMASFA2,MF2,Temporary table asset actions,Fixed Assets,,,,
TMPMASFAS,MFS,Temporary table asset actions,Fixed Assets,,,,
TMPMASLCK,TML,Mass action table lock,Fixed Assets,,,,
TMPMASLEA,TLE,Contract actions temp table,Fixed Assets,,,,
TMPMASLOF,MLF,Temporary table,Fixed Assets,,,,
TMPMASPHY,MPY,Temporary table actions elem,Fixed Assets,PHY,,,
TMPPAYDUD,TPD,Temporary payment proposal,A/P-A/R accounting,,,,"TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABPAYTYP  (Payment types  )"
TMPPAYDUD2,TP2,Temporary payment proposal,A/P-A/R accounting,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABPAYTYP  (Payment types  )"
TMPPAYTOT,PYT,Temporary payment proposal,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BANK  (Bank accounts  ) , TABPAYTYP  (Payment types  )"
TMPPLNFAS,TPF,Temporary table schedule actions,Fixed Assets,,,,
TMPPRPT,TPRPT,Temporary print key table,Purchasing,,,,AREPORT  (Report dictionary  )
TMPREEVAL,TRV,Temp table report DEPREEVAL,Fixed Assets,,,,
TMPSIMDERO,TDS,Temporary print key table,Fixed Assets,,,,
TMPSITU,TSI,Temp. table Report DEPSITU,Fixed Assets,,,,
TMPSITUCUR,TSIC,Temp. table Report DEPSITU,Fixed Assets,,,,
TMPSRPT,TRPT,Temporary print key table,Sales,,,,"TABCUR  (Currency table  ) , AREPORT  (Report dictionary  ) , TABSOHTYP  (Order type table  ) , TABSRHTYP  (Return type table  )"
TMPTCHANGE,TCG,Currency rates temp. table,Fixed Assets,,,,
TRADESHOW,OMT,Professional trade shows,Common Data,,Customer relation,Marketing,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CMARKETING  (Marketing campaign  )"
TRANNOTED,TND,Transportation note,Common Data,TRSNE,,,"TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
TRANNOTEH,TNH,Transportation note,Common Data,TRSNE,,,"TABCOUNTRY  (Country table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , TABTNHTYP  (Transportation note type  )"
TRANSPORT,TRNP,Transport,Purchasing,,,,"BPARTNER  (Business partner  ) , BPCARRIER  (Carriers  ) , TABPLACE  (Transit area  )"
TRCABX3,TAB,Abel X3 logs,Fixed Assets,,,,
TRCVCRDOC,TVD,Log file of accounting entries,Common Data,,,,GTYPACCENT  (Document types  )
TXSA,TXS,Financial data extraction parameters,Financials,TDB,,,"ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AREPORT  (Report dictionary  ) , TXSA  (Financial data extraction parameters  )"
TXSAC,TXA,Grid column setup,Financials,TDB,,,TXSA  (Financial data extraction parameters  )
TXSD,TXD,Financial data extraction detail,Financials,TDB,,,TXSA  (Financial data extraction parameters  )
TXSM,TXM,Amounts,Financials,TDB,,,"FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TXSA  (Financial data extraction parameters  )"
TXSP,TXP,Value parameters/version,Financials,TDB,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TXSA  (Financial data extraction parameters  )"
TXSV,TXX,Fin data extras variables,Financials,TDB,,,"ATYPE  (Data types  ) , TXSA  (Financial data extraction parameters  )"
TXSW,TXW,Versions,Financials,TDB,,,"ACCCOD  (Access codes  ) , TXSA  (Financial data extraction parameters  )"
TYPACE,TPE,Accounting entry types,Fixed Assets,,,,
TYPACEINT,TPI,Accounting entry types,Fixed Assets,,,,
TYPACELEG,TPL,Accounting entry types,Fixed Assets,,,,
TYPCOMBEL,TYC,Communication types,A/P-A/R accounting,KBE,,,TYPCOMBEL  (Communication types  )
UNFILWRK,UNF,Unfilled orders report,Sales,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
UNITOFTIME,UOT,Unit of time,Common Data,,,,TABUNIT  (Table of units of measure  )
UNPAID,UNP,Doubtful receipt entry,A/P-A/R accounting,,Accounting,Payment,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TABVAT  (Tax code table  ) , GJOURNAL  (Journal codes  )"
UPORDER,UOH,PO history,Purchasing,,Purchasing,"Normal Purchase Orders,Cumulative Purchase Orders","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABCONTAINER  (Freight container  ) , PFOOTINV  (Purchase invoicing elements  )"
UPORDERC,UOC,Cumulative PO history before R,Purchasing,,Purchasing,Cumulative Purchase Orders,"COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , BPSUPPLIER  (Suppliers  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  )"
UPORDERP,UOP,PO price history,Purchasing,,Purchasing,"Normal Purchase Orders,Cumulative Purchase Orders","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABVAT  (Tax code table  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  ) , MATCHTOL  (Matching tolerance  )"
UPORDERQ,UOQ,PO quantity history,Purchasing,,Purchasing,"Normal Purchase Orders,Cumulative Purchase Orders","TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , ITMMASTER  (Products  )"
USERGUIDES,UGD,User guides,Manufacturing,MWM,,,
VATBOX,VTB,VAT boxes,Financials,,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  )"
VATBOXD,VTD,VAT boxes,Financials,,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , GTEGRP  (  )"
VATCLS,VCL,Tax classification,Common Data,SAFT,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , TABVAT  (Tax code table  )"
VATENTFRM,VEF,VAT form (definition),Financials,DCL,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , AOBJEXT  (Import/export templates  ) , CSVATMAP  (  )"
VATENTFRMD,VEFD,VAT form detail (definition),Financials,DCL,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , ASTYLE  (Presentation styles  )"
VATEXEREA,VER,VAT exemption reasons,Common Data,KPO,,,
VATFRMENT,VFE,VAT form (values),Financials,DCL,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , AGRPFCY  (Site groupings  ) , VATGRP  (VAT entity header  )"
VATFRMENTA,VFEA,VAT form,Financials,DCL,,,COMPANY  (Company  )
VATFRMENTC,VFEC,VAT form by company,Financials,DCL,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  )"
VATFRMENTD,VFED,VAT form detail (values),Financials,DCL,,,
VATFRMENTN,VFEN,VAT form queries,Financials,DCL,,,
VATGRP,VATGH,VAT entity header,Financials,DCL,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , VATGRP  (VAT entity header  ) , GAUTACE  (Automatic journals  )"
